alias,name,category_alias,category_title,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address_0,display_address_1,display_address_2,display_address_3,display_phone
b-and-m-home-store-garden-centre-nottinghamshire,B and M Home Store Garden Centre,gardening,Nurseries & Gardening,53.13733321,-1.19535578,Baums Lane,,,Nottinghamshire,NG18 2RA,GB,NTT,Baums Lane,Nottinghamshire NG18 2RA,United Kingdom,,+44 330 838 9577
brandon-hire-mansfield,Brandon Hire,gardening,Nurseries & Gardening,53.1421817,-1.1874145,48 Ratcliffe Gate,,,Mansfield,NG18 2JL,GB,NTT,48 Ratcliffe Gate,Mansfield NG18 2JL,United Kingdom,,+44 1623 635136
mansfield-garden-machinery-centre-mansfield,Mansfield Garden Machinery Centre,gardening,Nurseries & Gardening,53.1499972,-1.1702489,44 Ellesmere Rd,,,Mansfield,NG19 0EQ,GB,NTT,44 Ellesmere Rd,Mansfield NG19 0EQ,United Kingdom,,+44 1623 645606
greenhills-garden-centre-mansfield,Greenhills Garden Centre,gardening,Nurseries & Gardening,53.11205,-1.18412,Portland Training College,Nottingham Road,Mansfield Notts,Mansfield,NG18 4TJ,GB,NTT,Portland Training College,Nottingham Road,Mansfield Notts,Mansfield NG18 4TJ,+44 1623 490186
bird-feeders-4-less-nottingham,Bird Feeders 4 Less,gardening,Nurseries & Gardening,53.0229606,-1.0512209,Timmermans Garden Centre Lowdham Lane,Woodborough,,Nottingham,NG14,GB,NGM,Timmermans Garden Centre Lowdham Lane,Woodborough,Nottingham NG14,United Kingdom,+44 115 966 4033
progreen-lighting-and-hydroponics-mansfield,Progreen Lighting & Hydroponics,hydroponics,Hydroponics,53.1028099,-1.11351,Unit 2 Boundary Court,Burma Road,,Mansfield,NG21 0RT,GB,NTT,Unit 2 Boundary Court,Burma Road,Mansfield NG21 0RT,United Kingdom,+44 1623 490211
dalesforth-garden-centre-sutton-in-ashfield-4,Dalesforth Garden Centre,gardening,Nurseries & Gardening,53.1395687,-1.2426068,Dalestorth House,Skegby Lane,,Sutton-In-Ashfield,NG17 3DH,GB,NTT,Dalestorth House,Skegby Lane,Sutton-In-Ashfield NG17 3DH,United Kingdom,+44 1623 557817
hss-hire-sutton-in-ashfield,HSS Hire,gardening,Nurseries & Gardening,53.1321548,-1.2451829,253 Mansfield Road,,,Sutton In Ashfield,NG17 4HG,GB,NTT,253 Mansfield Road,Sutton In Ashfield NG17 4HG,United Kingdom,,+44 1623 513622
timmermans-garden-centre-nottingham,Timmermans Garden Centre,gardening,Nurseries & Gardening,53.0225601196289,-1.03616404533386,Lowdham Ln,Woodborough,,Nottingham,NG14 6DN,GB,NTT,Lowdham Ln,Woodborough,Nottingham NG14 6DN,United Kingdom,+44 115 966 4033
sherwoods-garden-centre-mansfield,Sherwoods Garden Centre,gardening,Nurseries & Gardening,53.1313819,-1.1887062,,,,Mansfield,NG18,GB,NTT,Mansfield NG18,United Kingdom,,,+44 1623 624923
b-and-m-home-store-with-garden-centre-derbyshire-4,B and M Home Store with Garden Centre,gardening,Nurseries & Gardening,53.085587,-1.375628,Nottingham Road,Somercotes,Somercotes,Derbyshire,DE55 4JJ,GB,DBY,Nottingham Road,Somercotes,Somercotes,Derbyshire DE55 4JJ,+44 330 838 9573
m-and-m-timber-and-building-suppliers-chesterfield,M & M Timber & Building Suppliers,buildingsupplies,Building Supplies,53.1643123,-1.3928438,Pilsley Road,,Danesmoor,Chesterfield,S45 9BU,GB,DBY,Pilsley Road,Danesmoor,Chesterfield S45 9BU,United Kingdom,+44 1246 250700
acanthus-stone-derbys,Acanthus Stone,landscapearchitects,Landscape Architects or Designers,53.087867,-1.382026,Wimsey Way,,,Derbys,DE55,GB,DBY,Wimsey Way,Derbys DE55,United Kingdom,,+44 1773 540704
one-tree-horticulture-alfreton,One Tree Horticulture,hydroponics,Hydroponics,53.0661546,-1.3763872,Unit 1 Block 14,Amber Business Centre Greenhill Lane,Riddings,Alfreton,DE55 4BR,GB,DBY,Unit 1 Block 14,Amber Business Centre Greenhill Lane,Riddings,Alfreton DE55 4BR,+44 1773 605286
felley-priory-gardens-nottingham,Felley Priory Gardens,gardening,Nurseries & Gardening,53.056891,-1.279821,Felley Priory Gardens Underwood,,,Nottingham,NG16 5FQ,GB,NTT,Felley Priory Gardens Underwood,Nottingham NG16 5FQ,United Kingdom,,+44 7763 189771
hewden-hire-centres-nottingham,Hewden Hire Centres,gardening,Nurseries & Gardening,53.10109,-1.25337,Harcourt Street,,Kirkby-in-Ashfield,Nottingham,NG17 8DE,GB,NGM,Harcourt Street,Kirkby-in-Ashfield,Nottingham NG17 8DE,United Kingdom,+44 1623 750044
s-r-s-rail-systems-chesterfield,S R S Rail Systems,gardening,Nurseries & Gardening,53.230971,-1.30997,Unit 3 Riverside Way,,Bolsover,Chesterfield,S44 6GA,GB,DBY,Unit 3 Riverside Way,Bolsover,Chesterfield S44 6GA,United Kingdom,+44 1246 241312
j-t-e-plant-hire-alfreton,J T E Plant Hire,gardening,Nurseries & Gardening,53.07921,-1.36496,Castle Farm,South Hill,,Alfreton,DE55 6FP,GB,DBY,Castle Farm,South Hill,Alfreton DE55 6FP,United Kingdom,+44 7766 812806
