alias,name,category_alias,category_title,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address_0,display_address_1,display_address_2,display_address_3,display_phone
east-midlands-garage-doors-newark,East Midlands Garage Doors,gardening,Nurseries & Gardening,53.078949,-0.804082,Viper House,Queens Road,,Newark,NG24 1LJ,GB,NTT,Viper House,Queens Road,Newark NG24 1LJ,United Kingdom,+44 1636 613156
brandon-hire-newark,Brandon Hire,gardening,Nurseries & Gardening,53.05731,-0.801294,Hawton Lane,,New Balderton,Newark,NG24 3BU,GB,NTT,Hawton Lane,New Balderton,Newark NG24 3BU,United Kingdom,+44 1636 678848
m-laffey-newark,M Laffey,gardening,Nurseries & Gardening,53.04181,-0.75119,The New House,Broad Fen Lane,Claypole,Newark,NG23 5AJ,GB,NTT,The New House,Broad Fen Lane,Claypole,Newark NG23 5AJ,+44 1636 676133
cox-hire-centres-newark,Cox Hire Centres,gardening,Nurseries & Gardening,53.08085,-0.78822,Jessop Way,,,Newark,NG24 2ER,GB,NTT,Jessop Way,Newark NG24 2ER,United Kingdom,,+44 1636 671789
gudrum-classics-newark,Gudrum Classics,gardening,Nurseries & Gardening,53.06372,-0.80394,The Bearings,Bowbridge Road,,Newark,NG24 4BZ,GB,NTT,The Bearings,Bowbridge Road,Newark NG24 4BZ,United Kingdom,+44 1636 674313
calmat-appliance-services-newark,Calmat Appliance Services,gardening,Nurseries & Gardening,53.0609845,-0.80635,12 Bailey Road,,,Newark,NG24 4EW,GB,NTT,12 Bailey Road,Newark NG24 4EW,United Kingdom,,+44 1636 688231
ashtead-plant-hire-co-newark,Ashtead Plant Hire Co,gardening,Nurseries & Gardening,53.08598,-0.78572,Brunel Drive,,,Newark,NG24 2DE,GB,NTT,Brunel Drive,Newark NG24 2DE,United Kingdom,,+44 1636 677121
newark-garage-doors-newark,Newark Garage Doors,gardening,Nurseries & Gardening,53.0539166,-0.7720197,31 Wetsyke Lane,,,Newark,NG24 3NY,GB,NTT,31 Wetsyke Lane,Newark NG24 3NY,United Kingdom,,+44 1636 610275
devoncroft-nurseries-newark,Devoncroft Nurseries,gardening,Nurseries & Gardening,53.0676683,-0.8285009,81 Farndon Road,,,Newark,NG24 4SQ,GB,NTT,81 Farndon Road,Newark NG24 4SQ,United Kingdom,,+44 1636 704013
liz-garden-centre-newark,Liz Garden Centre,gardening,Nurseries & Gardening,53.05689,-0.7921,Hawton Lane,,Farndon,Newark,NG24 3SD,GB,NTT,Hawton Lane,Farndon,Newark NG24 3SD,United Kingdom,+44 1636 610199
les-smith-newark,Les Smith,gardening,Nurseries & Gardening,53.0501595,-0.82438,The Elms,Cotham Lane,Hawton,Newark,NG24 3RL,GB,NTT,The Elms,Cotham Lane,Hawton,Newark NG24 3RL,+44 1636 700001
llandor-associates-newark,Llandor Associates,gardening,Nurseries & Gardening,53.04848,-0.80299,The Main Office Quarry Farm Industrial Estate,Bowbridge Lane,New Balderton,Newark,NG24 3BZ,GB,NTT,The Main Office Quarry Farm Industrial Estate,Bowbridge Lane,New Balderton,Newark NG24 3BZ,+44 1636 613908
rtl-europe-newark,RTL Europe,gardening,Nurseries & Gardening,53.116993,-0.80854,1 Meadow Close,,North Muskham,Newark,NG23 6HY,GB,NTT,1 Meadow Close,North Muskham,Newark NG23 6HY,United Kingdom,+44 1636 678335
p-d-p-mower-services-newark,P D P Mower Services,gardening,Nurseries & Gardening,53.127976,-0.817383,Tollbar House,Vicarage Lane,North Muskham,Newark,NG23 6ES,GB,NTT,Tollbar House,Vicarage Lane,North Muskham,Newark NG23 6ES,+44 1636 676064
