alias,name,category_alias,category_title,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address_0,display_address_1,display_address_2,display_address_3,display_phone
the-worm-that-turned-nottingham,The Worm that Turned,gardeners,Gardeners,52.9557346,-1.1608228,120-122 Derby Road,,,Nottingham,NG1 5FB,GB,NGM,120-122 Derby Road,Nottingham NG1 5FB,United Kingdom,,+44 115 948 2800
brookfields-garden-centre-nottingham,Brookfields Garden Centre,gardening,Nurseries & Gardening,53.0046807,-1.1003485,431 Mapperley Plains,,,Nottingham,NG3 5RW,GB,NTT,431 Mapperley Plains,Nottingham NG3 5RW,United Kingdom,,+44 115 926 8200
huthwaite-hydroponics-nottingham,Huthwaite Hydroponics,gardening,Nurseries & Gardening,53.0727921,-1.2880392,34 Sherwood Road,,,Nottingham,NG16 6PZ,GB,NGM,34 Sherwood Road,Nottingham NG16 6PZ,United Kingdom,,+44 7977 407525
flowerpot-men-nottingham,Flowerpot Men,gardening,Nurseries & Gardening,52.945002,-1.134749,Unit A4,Clarke Road,Wholesale Fruit and Veg Market,Nottingham,NG2 3JJ,GB,NTT,Unit A4,Clarke Road,Wholesale Fruit and Veg Market,Nottingham NG2 3JJ,+44 7989 768462
zinc-floral-design-nottingham,Zinc Floral Design,gardening,Nurseries & Gardening,52.9534651,-1.1454267,38 Pelham Street,,,Nottingham,NG1 2EG,GB,NGM,38 Pelham Street,Nottingham NG1 2EG,United Kingdom,,+44 115 958 5775
a-plant-nottingham-2,A-Plant,gardening,Nurseries & Gardening,52.904575,-1.239829,Nottingham Road,,Beeston,Nottingham,NG9 6DP,GB,NGM,Nottingham Road,Beeston,Nottingham NG9 6DP,United Kingdom,+44 115 925 2417
hss-hire-nottingham,HSS Hire,gardening,Nurseries & Gardening,52.947398,-1.159278,167 Castle Boulevard,,,Nottingham,NG7 1FJ,GB,NGM,167 Castle Boulevard,Nottingham NG7 1FJ,United Kingdom,,+44 115 924 1446
sherwood-shed-company-nottingham,Sherwood Shed Company,gardening,Nurseries & Gardening,52.9806192,-1.1792476,Unit 4 Church View Industrial Park,Church Street,Old Basford,Nottingham,NG6 0GA,GB,NTT,Unit 4 Church View Industrial Park,Church Street,Old Basford,Nottingham NG6 0GA,+44 115 970 1755
a-plant-nottingham,A-Plant,gardening,Nurseries & Gardening,52.97722,-1.19018,Nuthall Road,,,Nottingham,NG8 5BU,GB,NGM,Nuthall Road,Nottingham NG8 5BU,United Kingdom,,+44 115 942 0567
hewden-hire-centres-nottingham-2,Hewden Hire Centres,gardening,Nurseries & Gardening,52.94673,-1.12375,Daleside Road,,,Nottingham,NG2 4DH,GB,NGM,Daleside Road,Nottingham NG2 4DH,United Kingdom,,+44 115 947 5275
m-f-hire-nottingham,M F Hire,gardening,Nurseries & Gardening,52.950449,-1.112737,2-3 Colwick Road,,,Nottingham,NG2 4BG,GB,NGM,2-3 Colwick Road,Nottingham NG2 4BG,United Kingdom,,+44 115 958 1505
bardills-garden-centre-and-aquatics-stapleford,Bardills Garden Centre & Aquatics,petstore,Pet Stores,52.920337453162,-1.26398800487313,Toton Lane,,,Stapleford,NG9 7JB,GB,NTT,Toton Lane,Stapleford NG9 7JB,United Kingdom,,+44 115 949 0019
advanced-gardening-nottingham,Advanced Gardening,gardening,Nurseries & Gardening,52.966322,-1.080534,20 Carlton Business Centre,,,Nottingham,NG4 3AA,GB,NTT,20 Carlton Business Centre,Nottingham NG4 3AA,United Kingdom,,+44 115 840 5060
timmermans-garden-centre-nottingham,Timmermans Garden Centre,gardening,Nurseries & Gardening,53.0225601196289,-1.03616404533386,Lowdham Ln,Woodborough,,Nottingham,NG14 6DN,GB,NTT,Lowdham Ln,Woodborough,Nottingham NG14 6DN,United Kingdom,+44 115 966 4033
a-plant-nottingham-3,A-Plant,gardening,Nurseries & Gardening,52.945123,-1.120629,Little Tennis St South,,,Nottingham,NG2 4EU,GB,NGM,Little Tennis St South,Nottingham NG2 4EU,United Kingdom,,+44 115 979 9540
bird-feeders-4-less-nottingham,Bird Feeders 4 Less,gardening,Nurseries & Gardening,53.0229606,-1.0512209,Timmermans Garden Centre Lowdham Lane,Woodborough,,Nottingham,NG14,GB,NGM,Timmermans Garden Centre Lowdham Lane,Woodborough,Nottingham NG14,United Kingdom,+44 115 966 4033
felley-priory-gardens-nottingham,Felley Priory Gardens,gardening,Nurseries & Gardening,53.056891,-1.279821,Felley Priory Gardens Underwood,,,Nottingham,NG16 5FQ,GB,NTT,Felley Priory Gardens Underwood,Nottingham NG16 5FQ,United Kingdom,,+44 7763 189771
brooklands-nurseries-nottingham,Brooklands Nurseries,gardening,Nurseries & Gardening,53.068061,-1.222529,Newstead Abbey Park,,Ravenshead,Nottingham,NG15 8GD,GB,NTT,Newstead Abbey Park,Ravenshead,Nottingham NG15 8GD,United Kingdom,+44 1623 490905
lawn-frog-carlton-2,Lawn Frog,gardening,Nurseries & Gardening,52.9771644,-1.0938852,187 Westdale Lane,,,Carlton,NG4 4FL,GB,NGM,187 Westdale Lane,Carlton NG4 4FL,United Kingdom,,+44 115 952 3053
keycraft-nottingham,Keycraft,gardening,Nurseries & Gardening,53.0211266330463,-1.222468364512,The Aerodrome Watnall Rd,,Hucknall,Nottingham,NG15 6EN,GB,NTT,The Aerodrome Watnall Rd,Hucknall,Nottingham NG15 6EN,United Kingdom,+44 115 968 0003
search-nottingham-nottingham,Search Nottingham,gardening,Nurseries & Gardening,52.93124,-1.18082,Unit 6,,,Nottingham,NG7 2TS,GB,NGM,Unit 6,Nottingham NG7 2TS,United Kingdom,,+44 115 986 4387
ams-bobcat-nottingham,Ams Bobcat,gardening,Nurseries & Gardening,53.00025,-1.20002,Lillington Road,,,Nottingham,NG6 8HJ,GB,NGM,Lillington Road,Nottingham NG6 8HJ,United Kingdom,,+44 115 975 0101
marsden-nottingham,Marsden,gardening,Nurseries & Gardening,52.958698,-1.082631,Private Road 8,,Colwick Industrial Estate,Nottingham,NG4 2JX,GB,NGM,Private Road 8,Colwick Industrial Estate,Nottingham NG4 2JX,United Kingdom,+44 115 961 4734
hewden-plant-hire-nottingham,Hewden Plant Hire,gardening,Nurseries & Gardening,53.00278,-1.20447,The Old Quarry Works,Belgrave Road,,Nottingham,NG6 8HW,GB,NGM,The Old Quarry Works,Belgrave Road,Nottingham NG6 8HW,United Kingdom,+44 115 976 1234
derbyshire-gardens-design-nottingham,Derbyshire Gardens Design,gardeners,Gardeners,52.9725028,-1.1626337,,,,Nottingham,NG7 7LX,GB,NGM,Nottingham NG7 7LX,United Kingdom,,,+44 7908 199910
gro-zone-hydroponics-nottingham,Gro-zone Hydroponics,hydroponics,Hydroponics,53.0014753,-1.2783244,Unit 11 Amber Trading Centre,Giltbrook,Kimberley,Nottingham,NG16 2HS,GB,NTT,Unit 11 Amber Trading Centre,Giltbrook,Kimberley,Nottingham NG16 2HS,+44 115 938 3591
lakes-trade-centre-nottingham-5,Lakes Trade Centre,gardening,Nurseries & Gardening,52.957898861821,-1.23331916332245,159 Glaisdale Drive West,,,Nottingham,NG8 4GY,GB,NGM,159 Glaisdale Drive West,Nottingham NG8 4GY,United Kingdom,,+44 115 928 8988
the-internet-gardener-nottingham,The Internet Gardener,gardening,Nurseries & Gardening,53.0365504,-1.083098,Unit 2 Daleside HOuse Unit 2 Daleside HOuse,Calverton,,Nottingham,NG14 6FG,GB,NTT,Unit 2 Daleside HOuse Unit 2 Daleside HOuse,Calverton,Nottingham NG14 6FG,United Kingdom,+44 845 094 1707
jacksdale-garden-centre-nottingham,Jacksdale Garden Centre,gardening,Nurseries & Gardening,53.05163,-1.3049599,Main Road,,Jacksdale,Nottingham,NG16 5HR,GB,NGM,Main Road,Jacksdale,Nottingham NG16 5HR,United Kingdom,+44 1773 602245
