alias,name,category_alias,category_title,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address_0,display_address_1,display_address_2,display_address_3,display_phone
the-proper-shed-company-worksop,The Proper Shed Company,buildingsupplies,Building Supplies,53.3066,-1.12318,,,,Worksop,,GB,NTT,"Worksop, Nottinghamshire",United Kingdom,,,+44 1909 470643
mr-g-davies-worksop,Mr G Davies,gardening,Nurseries & Gardening,53.309302,-1.122745,,,,Worksop,S81,GB,NTT,Worksop S81,United Kingdom,,,+44 1909 476452
blagg-plant-hire-worksop,Blagg Plant Hire,gardening,Nurseries & Gardening,53.32539,-1.13948,Hatfield Farm,Shireoaks Common,Shireoaks,Worksop,S81 8LS,GB,NTT,Hatfield Farm,Shireoaks Common,Shireoaks,Worksop S81 8LS,+44 1909 500296
m-and-r-lawnmower-services-worksop,M & R Lawnmower Services,gardening,Nurseries & Gardening,53.306371,-1.121315,3 Church Walk,,,Worksop,S80 2EJ,GB,NTT,3 Church Walk,Worksop S80 2EJ,United Kingdom,,+44 1909 473017
dukeries-garden-centre-worksop,Dukeries Garden Centre,gardening,Nurseries & Gardening,53.2626,-1.1707,Welbeck,,Welbeck,Worksop,S80 3LT,GB,NTT,Welbeck,Welbeck,Worksop S80 3LT,United Kingdom,+44 1909 476506
northern-garden-supplies-worksop,Northern Garden Supplies,gardening,Nurseries & Gardening,53.3192449,-1.109624,Blyth Road,,,Worksop,S81 8JE,GB,NTT,Blyth Road,Worksop S81 8JE,United Kingdom,,+44 1909 731600
hopkinson-construction-and-plant-hire-worksop,Hopkinson Construction & Plant Hire,gardening,Nurseries & Gardening,53.321948,-1.128637,121 Valley Road,,,Worksop,S81 7EG,GB,NTT,121 Valley Road,Worksop S81 7EG,United Kingdom,,+44 1909 731937
thorpe-salvin-nursery-worksop,Thorpe Salvin Nursery,gardening,Nurseries & Gardening,53.321981,-1.214915,73 Common Road,,Thorpe Salvin,Worksop,S80 3JJ,GB,NTT,73 Common Road,Thorpe Salvin,Worksop S80 3JJ,United Kingdom,+44 1909 515393
morton-hall-gardens-retford,Morton Hall Gardens,gardening,Nurseries & Gardening,53.31328,-1.021583,Morton Hall,,Ranby,Retford,DN22 8HW,GB,NTT,Morton Hall,Ranby,Retford DN22 8HW,United Kingdom,+44 1777 702530
a-class-mini-diggers-sheffield,A Class Mini Diggers,gardening,Nurseries & Gardening,53.3624759,-1.1959742,169 Swinston Hill Road,,Dinnington,Sheffield,S25 2RY,GB,XSY,169 Swinston Hill Road,Dinnington,Sheffield S25 2RY,United Kingdom,+44 7974 569681
a-r-b-plant-hire-sheffield,A R B Plant Hire,gardening,Nurseries & Gardening,53.367259,-1.186896,Lodge Lane,,Dinnington,Sheffield,S25 2PB,GB,XSY,Lodge Lane,Dinnington,Sheffield S25 2PB,United Kingdom,+44 1909 569528
